,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," Otherwise, she's not going to obviously provide --",,,start_chat
1,189,159,18,Sure.,side_chat,MR. SIMONS,start_chat
2,190,159,19,-- any attorney-client privileged information.,side_chat,MR. SAMMI,start_chat
3,192,159,21,Not a problem.,side_chat,MR. SIMONS,start_question
4,193,159,22,"(BY MR. SIMONS)  I think if you go back to Exhibit 220.  And the next item that we were going to look at was item 158, I believe, which was on page 25, I believe.",q,MR. SIMONS,start_answer
5,198,160,1,The first 25?,a,THE WITNESS,start_question
6,199,160,2,"The first 25, 25A. And the question is simply do you know which contract this refers to?",q,MR. SIMONS,start_answer
7,202,160,5,"That would have been -- actually, I'm not sure.",a,THE WITNESS,start_question
8,204,160,7,"Okay.  What about number 209?  This is on page 33, February 9th, 2018.",q,MR. SIMONS,start_answer
9,206,160,9,That would have been the SOW --,a,THE WITNESS,start_question
10,207,160,10,Okay.,q,MR. SIMONS,start_answer
11,208,160,11,-- with Zest.,a,THE WITNESS,start_question
12,209,160,12,All right.,q,MR. SIMONS,start_chat
13,210,160,13,2018?,side_chat,MR. SAMMI,start_chat
14,211,160,14,2018.,side_chat,THE WITNESS,start_chat
15,212,160,15,Okay.,side_chat,MR. SAMMI,start_question
16,213,160,16,"(BY MR. SIMONS)  So if we go forward to number 297.  297 is on the 13th page, the second 13.  It looks like 297 is -- actually, I --",q,MR. SIMONS,start_chat
17,216,160,19,Yeah.,side_chat,MR. SAMMI,start_question
18,217,160,20,(BY MR. SIMONS)  298 through 301.,q,MR. SIMONS,start_chat
19,218,160,21,I --,side_chat,MR. SAMMI,start_question
20,219,160,22,(BY MR. SIMONS)  297 is Mr. Bohling.,q,MR. SIMONS,start_chat
21,220,160,23,"Yeah.  Michael, I understood you to mean 298 through 301.",side_chat,MR. SAMMI,start_chat
22,222,160,25,Yeah.  That is correct.,side_chat,MR. SIMONS,start_question
23,224,161,1,"(BY MR. SIMONS)  So these refer to a Deloitte contract.  Do you know which Deloitte this was?  Was it waste, speed?",q,MR. SIMONS,start_answer
24,227,161,4,Speed.,a,THE WITNESS,start_question
25,228,161,5,"Speed.  Okay. All right.  And then going forward to 326, page 17.  This is the one, I think, that we had spoken briefly about before.  I think, you said you have not -- you haven't sought to obtain a patent or file a patent application that you can recall?",q,MR. SIMONS,start_answer
26,234,161,11,"I can't recall that, no.",a,THE WITNESS,start_question
27,235,161,12,"Did this have to do with somebody else's patent, not your own?",q,MR. SIMONS,start_answer
28,237,161,14,I don't remember.,a,THE WITNESS,start_question
29,238,161,15,"Okay.  What about No. 327 through 31, next page, page 18?  These all just say regarding intellectual property.  Do you have anymore detail on what this relates to?",q,MR. SIMONS,start_answer
30,242,161,19,No.  I don't remember.,a,THE WITNESS,start_question
31,243,161,20,"Okay.  What about 358 and 59?  It's on page 23.  Business ventures, 1/18/2018.  Do you know what that refers to?",q,MR. SIMONS,start_answer
32,246,161,23,That would have been the SOW.,a,THE WITNESS,start_question
33,247,161,24,Okay.  All right.,q,MR. SIMONS,start_answer
34,248,161,25,Okay.  Go.,a,THE WITNESS,start_question
35,250,162,1,"Yeah.  We'll get to it in a little bit, 221.",q,MR. SIMONS,is brackets
36,251,162,2,(Exhibit 221 was marked),brackets,,start_chat
37,252,162,3,"Michael, this deposition is still under individual capacity?",side_chat,MR. SAMMI,start_chat
38,254,162,5,Yes.,side_chat,MR. SIMONS,start_chat
39,255,162,6,Okay.,side_chat,MR. SAMMI,start_question
40,256,162,7,"(BY MR. SIMONS)  Besides the exhibit, did you talk to Zest about the work that ATK was doing with you?",q,MR. SIMONS,start_answer
41,258,162,9,I do not remember specific conversations.,a,THE WITNESS,start_question
42,259,162,10,Okay.  So you don't recall telling them about the ATK work?,q,MR. SIMONS,start_answer
43,261,162,12,Not right now.,a,THE WITNESS,start_question
44,262,162,13,"Okay.  Looking at 221, this is a series of emails about an ATK proposal.  Your email is at the very top there, 12/2/2016, correct?",q,MR. SIMONS,start_answer
45,265,162,16,Yes.,a,THE WITNESS,start_question
46,266,162,17,And it looks like ATK sent a proposal back in 2015.  If you look at the --,q,MR. SIMONS,start_answer
47,268,162,19,Yep.,a,THE WITNESS,start_question
48,269,162,20,"-- first couple of emails.  And then that was -- I guess, they did not do the work in 2015, correct?",q,MR. SIMONS,start_answer
49,271,162,22,I would -- was not employed.  I don't know what they did.,a,THE WITNESS,start_question
50,273,162,24,"Okay.  Well, at the top, you say, This was the ATK deck I referenced.  This is a proposal to do the work that we are looking to do.  Not the actual work. Just a proposal to do the work and the scope.  Correct?",q,MR. SIMONS,start_answer
51,278,163,3,That's correct.,a,THE WITNESS,start_question
52,279,163,4,"Okay.  So you're not aware of them having done the work in 2015, correct?",q,MR. SIMONS,start_answer
53,281,163,6,I'm not aware of what they did in 2015.,a,THE WITNESS,start_question
54,282,163,7,Okay.  And it looks like you were sending the proposal around again in 2016.  Did you send it around because you were planning to have them do some work in 2016?,q,MR. SIMONS,start_answer
55,286,163,11,This -- no.,a,THE WITNESS,start_question
56,287,163,12,Why did you send it around?,q,MR. SIMONS,start_answer
57,288,163,13,It just says it's a proposal of the work we're looking to do.  It does not specifically say work that I'm looking ATK to do.,a,THE WITNESS,start_question
58,291,163,16,Got it.  Did you eventually ask ATK to do work that was similar to the proposal that you circulated?,q,MR. SIMONS,start_answer
59,293,163,18,Massively different scope and not necessarily even remotely related.,a,THE WITNESS,start_question
60,295,163,20,"Okay.  So the only connection, I guess, is it was ATK?",q,MR. SIMONS,start_answer
61,297,163,22,Correct.,a,THE WITNESS,is brackets
62,298,163,23,(Exhibit 222 was marked),brackets,,start_question
63,299,163,24,(BY MR. SIMONS)  So I'm showing you what's been marked as Exhibit 222.,q,MR. SIMONS,start_answer
64,302,164,1,Yes.,a,THE WITNESS,start_question
65,303,164,2,"This is an email from you to Mr. Cherian in April of 2017 with an attachment called, Architectural Design Considerations Overview.",q,MR. SIMONS,start_answer
66,306,164,5,Correct.,a,THE WITNESS,start_question
67,307,164,6,Is this something that ATK helped you prepare or produce?,q,MR. SIMONS,start_answer
68,309,164,8,This entire document?,a,THE WITNESS,start_question
69,310,164,9,"Yes.  Did they help you prepare the entire document?  And if not, did they help you prepare a portion of it?",q,MR. SIMONS,start_answer
70,313,164,12,"So this is not my document, as I recall.",a,THE WITNESS,start_question
71,314,164,13,So whose is it?,q,MR. SIMONS,start_answer
72,315,164,14,I'm not sure where it would have originated.,a,THE WITNESS,start_question
73,316,164,15,So if you look at the email just before your email on the first page.,q,MR. SIMONS,start_answer
74,318,164,17,Uh-huh.,a,THE WITNESS,start_question
75,319,164,18,It's from Lewis -- Justin Lewis at ATK.,q,MR. SIMONS,start_answer
76,320,164,19,Yes.,a,THE WITNESS,start_question
77,321,164,20,"It looks like he sent it to you, and then you sent it to Mr. Cherian.",q,MR. SIMONS,start_answer
78,323,164,22,He sent it to a large group of people.,a,THE WITNESS,start_question
79,324,164,23,"Right.  You plus a number of people, correct?",q,MR. SIMONS,start_answer
80,325,164,24,Yes.,a,THE WITNESS,start_question
81,326,164,25,And then you forwarded it on to Mr. Cherian. Why did you sent it to Mr. Cherian?,q,MR. SIMONS,start_answer
82,329,165,2,I'm sure as an FYI.,a,THE WITNESS,start_question
83,330,165,3,So does that refresh your recollection at all as to whether ATK was involved in helping prepare this material?,q,MR. SIMONS,start_answer
84,333,165,6,"At least what I see here, they prepared this material.",a,THE WITNESS,start_question
85,335,165,8,Okay.  And did they prepare it at your request or at someone else's request?,q,MR. SIMONS,start_answer
86,337,165,10,This is when ATK was working and being paid for by someone other than me.,a,THE WITNESS,start_question
87,339,165,12,Okay.  Do you know who it was that was --,q,MR. SIMONS,start_answer
88,340,165,13,Rob Fasillo.,a,THE WITNESS,start_question
89,341,165,14,Rob Fasillo.  And who is he?,q,MR. SIMONS,start_answer
90,342,165,15,He's the second person on the email list.,a,THE WITNESS,start_question
91,343,165,16,Right.  And what is his role at Walmart?,q,MR. SIMONS,start_answer
92,344,165,17,"He's a VP in technology.  His role at this particular time, I'm not sure.",a,THE WITNESS,start_question
93,346,165,19,Okay.  And did you work with Rob Fasillo after this material was prepared?,q,MR. SIMONS,start_answer
94,348,165,21,During.  Current -- yeah.,a,THE WITNESS,start_question
95,349,165,22,Okay.,q,MR. SIMONS,start_answer
96,350,165,23,"Yeah, yeah, yeah.",a,THE WITNESS,start_question
97,351,165,24,What role did you have in working with Rob with regard to the exhibit in Exhibit 222?,q,MR. SIMONS,start_answer
98,354,166,1,I was the business partner.,a,THE WITNESS,start_question
99,355,166,2,"Okay.  And in connection with that, did ATK provide any other reports or deliverables associated with this project?",q,MR. SIMONS,start_answer
100,358,166,5,Yes.,a,THE WITNESS,start_question
101,359,166,6,What were the other deliverables that they provided?,q,MR. SIMONS,start_answer
102,361,166,8,"There was the -- at the end of their contract or time, there was another larger deck.",a,THE WITNESS,start_question
103,363,166,10,"Okay.  And what was the -- was that an expansion on this, the deck that's attached here or something entirely different?",q,MR. SIMONS,start_answer
104,366,166,13,I would say this was a subset.,a,THE WITNESS,start_question
105,367,166,14,"Okay.  So it's just a bigger, more complete set.",q,MR. SIMONS,start_answer
106,369,166,16,(Witness nods head.),a,THE WITNESS,start_question
107,370,166,17,And what was your understanding of what the objective of this ATK work was?,q,MR. SIMONS,start_answer
108,372,166,19,"As I mentioned earlier, evaluating the systems that move our product.  They were inadequate.  And so we did a full systems analysis of all the different domains to see what was needed to have the correct digital connection of moving product.",a,THE WITNESS,start_question
109,377,166,24,"And when you say product, is that -- you're talking about fresh product because that's --",q,MR. SIMONS,start_answer
110,380,167,1,"Any -- any kind of product because -- in this world, it was fresh, but it sometimes is -- you know, it can be a can of something too.",a,THE WITNESS,start_question
111,383,167,4,But in this particular instance --,q,MR. SIMONS,start_answer
112,384,167,5,It was fresh.,a,THE WITNESS,start_question
113,385,167,6,-- fresh --,q,MR. SIMONS,start_answer
114,386,167,7,Correct.,a,THE WITNESS,start_question
115,387,167,8,-- because that's what you're responsible for?,q,MR. SIMONS,start_answer
116,388,167,9,Yes.  That's correct.,a,THE WITNESS,start_question
117,389,167,10,"And in connection with this work, did you provide ATK with any materials to assist them in their analysis?",q,MR. SIMONS,start_answer
118,392,167,13,So yes.,a,THE WITNESS,start_question
119,393,167,14,What materials did you provide them?,q,MR. SIMONS,start_answer
120,394,167,15,I am not sure to the extent.  I just remember them needing information.,a,THE WITNESS,start_question
121,396,167,17,Okay.,q,MR. SIMONS,is brackets
122,397,167,18,(Exhibit 223 was marked),brackets,,start_question
123,398,167,19,(BY MR. SIMONS)  So I'm showing you what's been marked as Exhibit 223.  Do you recall someone named John Piatek at ATK?,q,MR. SIMONS,start_answer
124,401,167,22,I do.,a,THE WITNESS,start_question
125,402,167,23,What was your working relationship with John?,q,MR. SIMONS,start_answer
126,403,167,24,I believe he was working on the project.,a,THE WITNESS,start_question
