,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, and testified as follows: DIRECT EXAMINATION,,,start_question
1,125,4,9,"Good morning.  This is your continued deposition.  The original one was taken -- or the beginning was on March 12, 2019.  At that time, we went over all of the rules for depositions.  I'm just going to go over a couple of important things again so that you remember. First of all, it's important that you understand any question I ask.  So if you don't understand, you should say that so I could rephrase it. Do you understand?",q,MS. HELLER,start_answer
2,136,4,20,Yes.,a,THE WITNESS,start_question
3,137,4,21,"And whenever I'm talking, wait for me to finish so that we can make a clear record.  Also, your answers should be full words rather than gestures or sounds. Do you understand those rules?",q,MS. HELLER,start_answer
4,143,5,2,"Yes, ma'am.",a,THE WITNESS,start_question
5,144,5,3,"Thank you. And just to reconfirm, are you still employed by Travelers?",q,MS. HELLER,start_answer
6,147,5,6,Yes.,a,THE WITNESS,start_question
7,148,5,7,Same position?,q,MS. HELLER,start_answer
8,149,5,8,Yes.,a,THE WITNESS,start_question
9,150,5,9,Okay.  So what is your e-mail address?,q,MS. HELLER,start_answer
10,151,5,10,My personal e-mail address?,a,THE WITNESS,start_question
11,152,5,11,Yeah. What is your personal e-mail address?,q,MS. HELLER,start_answer
12,154,5,13,MargaretV152@gmail.com.,a,THE WITNESS,start_question
13,155,5,14,What is your work e-mail address?,q,MS. HELLER,start_answer
14,156,5,15,Why? It doesn't have to do anything with the case.,a,THE WITNESS,start_question
15,159,5,18,What is your work e-mail address?,q,MS. HELLER,start_answer
16,160,5,19,That's Travelers' e-mail address.  I can't -- I'm not going to give you that.,a,THE WITNESS,start_question
17,162,5,21,Okay.,q,MS. HELLER,is brackets
18,163,5,22,"(Whereupon, Plaintiff's Exhibit No. 16, E-mails, was marked for identification.)",brackets,,start_question
19,168,6,2,I'm going to offer what's been marked as Plaintiff's Exhibit 16.,q,MS. HELLER,start_chat
20,170,6,4,We premarked them --,side_chat,MS. HELLER,start_chat
21,171,6,5,Okay.,side_chat,MR. KELLY,start_chat
22,172,6,6,-- but I have copies --,side_chat,MS. HELLER,start_chat
23,173,6,7,Yeah.,side_chat,MR. KELLY,start_chat
24,174,6,8,-- of everything --,side_chat,MS. HELLER,start_chat
25,175,6,9,That's fine.,side_chat,MR. KELLY,start_chat
26,176,6,10,-- for you.,side_chat,MS. HELLER,start_question
27,178,6,12,I'll give that to you --,q,MS. HELLER,start_chat
28,179,6,13,Thank you.,side_chat,MR. KELLY,start_question
29,181,6,15,-- for you to take a look at.  These are e-mails that you provided to us. Do you recognize them?,q,MS. HELLER,start_answer
30,184,6,18,That's because I send it to myself from my phone because I couldn't print it out.,a,THE WITNESS,start_question
