,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," Jenkins, and we'll now swear in the witness. HEMANT GORADIA, having been first duly sworn, testified as follows: EXAMINATION",,,start_question
1,182,12,20,Good morning.,q,MR. PRICE,start_answer
2,183,12,21,Good morning.,a,THE WITNESS,start_question
3,184,12,22,"Can you introduce yourself to us, please, sir?",q,MR. PRICE,start_answer
4,185,12,23,My name is Hemant Goradia.,a,THE WITNESS,start_question
5,186,12,24,"And, Mr. Goradia, do you have a brother named Vijay Goradia?",q,MR. PRICE,start_answer
6,188,13,1,"Yes, sir.",a,THE WITNESS,start_question
7,189,13,2,And are you the -- are you older or younger than Vijay?,q,MR. PRICE,start_answer
8,191,13,4,I'm younger.,a,THE WITNESS,start_question
9,192,13,5,And do you have a son named Vishal Goradia?,q,MR. PRICE,start_answer
10,193,13,6,"Yes, sir.",a,THE WITNESS,start_question
11,194,13,7,Okay.  Have you had your deposition taken before?,q,MR. PRICE,start_answer
12,196,13,9,Any deposition?,a,THE WITNESS,start_question
13,197,13,10,"Yes, sir.",q,MR. PRICE,start_answer
14,198,13,11,Yes.,a,THE WITNESS,start_question
15,199,13,12,Okay.  So you understand that you're under oath today just like if we were in court?,q,MR. PRICE,start_answer
16,201,13,14,Yes.,a,THE WITNESS,start_question
17,202,13,15,And that you've taken an oath to swear to tell the truth?,q,MR. PRICE,start_answer
18,204,13,17,Yes.,a,THE WITNESS,start_question
19,205,13,18,And is there any reason that you can't tell the truth today?,q,MR. PRICE,start_answer
20,207,13,20,No.,a,THE WITNESS,start_question
21,208,13,21,"So I'll be asking you a bunch of questions today.  If you answer my question, I'm going to assume that you understood it, okay?",q,MR. PRICE,start_answer
22,211,13,24,Okay.,a,THE WITNESS,start_question
23,212,13,25,"If you don't understand my question, please let me know, and I'll try to rephrase it, okay?",q,MR. PRICE,start_answer
24,214,14,2,Okay.,a,THE WITNESS,start_question
25,215,14,3,Did you meet with your lawyers to prepare for the deposition today?,q,MR. PRICE,start_answer
26,217,14,5,"I met with my lawyers today, yes.",a,THE WITNESS,start_question
27,218,14,6,Yes.  And when did you do that?,q,MR. PRICE,start_answer
28,219,14,7,Yesterday.,a,THE WITNESS,start_question
29,220,14,8,And who was there?,q,MR. PRICE,start_answer
30,221,14,9,Jared Ruocco.,a,THE WITNESS,start_question
31,222,14,10,All right.  And how long did you and -- and Jared meet for?,q,MR. PRICE,start_answer
32,224,14,12,I didn't time it but several hours.,a,THE WITNESS,start_question
33,225,14,13,Okay.  Morning or afternoon?,q,MR. PRICE,start_answer
34,226,14,14,It started in the morning and ended sometime in the afternoon.,a,THE WITNESS,start_question
35,228,14,16,All right.  And was anyone else present other than -- other than Mr. Ruocco?,q,MR. PRICE,start_answer
36,230,14,18,Mr. Baker participated for a short time.,a,THE WITNESS,start_question
37,231,14,19,And was he -- was he physically here in the Houston office?,q,MR. PRICE,start_answer
38,233,14,21,No.,a,THE WITNESS,start_question
39,234,14,22,By phone?,q,MR. PRICE,start_answer
40,235,14,23,By phone.,a,THE WITNESS,start_question
41,236,14,24,All right.  Did you-all do it here at the lawyer's office or somewhere else?,q,MR. PRICE,start_answer
42,238,15,1,"No, at my office.",a,THE WITNESS,start_question
43,239,15,2,And where is that?,q,MR. PRICE,start_answer
44,240,15,3,"It's in the Greenspoint area, 16825 Northchase Drive.",a,THE WITNESS,start_question
45,242,15,5,Okay.  And is that an office -- is that an office of Lion Copolymer Holdings?,q,MR. PRICE,start_answer
46,244,15,7,"It's an office of Vinmar International and Goradia Holdings, Goradia Capital.",a,THE WITNESS,start_question
47,246,15,9,And Gora -- so Goradia Capital shares an office space with Vinmar?,q,MR. PRICE,start_answer
48,248,15,11,Yes.,a,THE WITNESS,start_question
49,249,15,12,"So, but you -- to your knowledge, Lion Copolymer Holdings does not have any offices in Houston?",q,MR. PRICE,start_answer
50,251,15,14,Correct.,a,THE WITNESS,start_question
51,252,15,15,Were you shown documents yesterday?,q,MR. PRICE,start_answer
52,253,15,16,Yes.,a,THE WITNESS,start_question
