,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, The deponent will have 30 days to read and sign.,,,start_chat
1,104,18,17,Waive the notary.,side_chat,MS. BYRON,start_chat
2,105,18,18,Waive the notary.,side_chat,MS. BALDWIN,start_question
3,108,18,21,"Good morning again, sir.",q,MS. BALDWIN,start_answer
4,109,18,22,Good morning.,a,THE WITNESS,start_question
5,110,18,23,"We just met off the record.  My name is Carleigh Baldwin, and I represent Claire Mello in the lawsuit that she filed against G. Greene Construction Company, Incorporated.  Could you, please, state your name for the record.",q,MS. BALDWIN,start_answer
6,116,19,4,Peter DeSisto.,a,THE WITNESS,start_question
7,117,19,5,Could you spell your last name.,q,MS. BALDWIN,start_answer
8,118,19,6,D-E capital S-I-S-T-O.,a,THE WITNESS,start_question
9,119,19,7,Say it one more time.,q,MS. BALDWIN,start_answer
10,120,19,8,D-E capital S-I-S-T-O.,a,THE WITNESS,start_question
11,121,19,9,"Got it.  Mr. DeSisto, I am here to take your deposition today.  I'll go over a couple of basic ground rules just for the court reporter's sake. I'll just ask you to let me finish my question before you respond.  And I'll give you the same courtesy, let you finish your answer.  If you don't understand any of my questions, let me know, and I will be happy to repeat or rephrase them.  If you need to take a break at any time, that's fine; but I'll just ask you to answer the last question posed to you before we go off the record.",q,MS. BALDWIN,start_answer
12,133,19,21,Sure.,a,THE WITNESS,start_question
13,134,19,22,"Mr. DeSisto, are you currently employed?",q,MS. BALDWIN,start_answer
14,135,19,23,Yes.,a,THE WITNESS,start_question
15,136,19,24,Where do you currently work?,q,MS. BALDWIN,start_answer
16,138,20,1,With G. Greene Construction.,a,THE WITNESS,start_question
17,139,20,2,What's your job title there?,q,MS. BALDWIN,start_answer
18,140,20,3,I am the site operations manager.,a,THE WITNESS,start_question
19,141,20,4,"Help me understand, sir, the structure of G. Greene Construction, who do you report to?",q,MS. BALDWIN,start_answer
20,143,20,6,"I report directly to Bob Greene, the owner.",a,THE WITNESS,start_question
21,144,20,7,Anyone else above you before Bob Greene?,q,MS. BALDWIN,start_answer
22,145,20,8,No.,a,THE WITNESS,start_question
23,146,20,9,Do you have lateral --,q,MS. BALDWIN,start_answer
24,147,20,10,-- yes.,a,THE WITNESS,start_question
25,148,20,11,-- managers?,q,MS. BALDWIN,start_answer
26,149,20,12,Yes.,a,THE WITNESS,start_question
27,150,20,13,Who are those?,q,MS. BALDWIN,start_answer
28,151,20,14,"Kevin Krauss, Richard Shearns.",a,THE WITNESS,start_question
29,152,20,15,"Richard, I'm sorry, who?",q,MS. BALDWIN,start_answer
30,153,20,16,"Shearns.  And Biagio DiTullio, B-I-A-G-I-O, D-I-T-U-L-L-I-O.",a,THE WITNESS,start_question
31,155,20,18,And what is Kevin Krauss's position?,q,MS. BALDWIN,start_answer
32,156,20,19,"He is vice president of big operations, I think, is his official title.",a,THE WITNESS,start_question
33,158,20,21,"How about Richard Shearns, what's his title?",q,MS. BALDWIN,start_answer
34,159,20,22,He's the project executive.,a,THE WITNESS,start_question
35,160,20,23,And Biagio?,q,MS. BALDWIN,start_answer
36,161,20,24,"Same, project executive.",a,THE WITNESS,start_question
37,163,21,1,How many employees does G. Greene Construction Company have?,q,MS. BALDWIN,start_answer
38,165,21,3,"Between 100, 150, I believe.",a,THE WITNESS,start_question
39,166,21,4,"And I don't need to know every employee that works there, but what sort of positions do those employees fill?",q,MS. BALDWIN,start_answer
40,169,21,7,"So, there's the office staff, obviously, which is probably 40 to 50.  And then there's probably a hundred plus of field, whether it be laborers, operators, carpenters, superintendents.",a,THE WITNESS,start_question
41,173,21,11,"How many jobs -- is it just fair for the record if I say Greene, that we're talking about G. Greene Construction?",q,MS. BALDWIN,start_answer
42,176,21,14,Yes.,a,THE WITNESS,start_question
43,177,21,15,How many jobs does Greene have at any one time?,q,MS. BALDWIN,start_answer
44,178,21,16,"I mean, it could range from 10 to, could be up to 30.",a,THE WITNESS,start_question
45,180,21,18,That's on average?,q,MS. BALDWIN,start_answer
46,181,21,19,"That's on average, mm-hmm.",a,THE WITNESS,start_chat
47,182,21,20,"Before we get into it too deep, I want to mark the deposition notice.",side_chat,MS. BALDWIN,is brackets
48,184,21,22,(Deposition Notice marked as Exhibit 1 for Identification.),brackets,,start_question
49,186,21,24,"Mr. DeSisto, I'm handing you what has been marked as Exhibit No. 1.  This is the Notice of Deposition that was sent to your attorneys.  I just ask you to turn to the appendix to the Notice of Deposition located on Page 2 of Exhibit No. 1.  And, sir, are you the person with the most knowledge in regards to Topic No. 1 listed on Appendix A?",q,MS. BALDWIN,start_answer
50,195,22,8,Yes.,a,THE WITNESS,start_question
51,196,22,9,And are you the person with the most knowledge from preconstruction as to the topics listed under No. 2 of Appendix A?,q,MS. BALDWIN,start_answer
52,199,22,12,Yes.,a,THE WITNESS,start_question
53,200,22,13,Are you the person with the most knowledge as to Topic No. 3 on Appendix A?,q,MS. BALDWIN,start_answer
54,202,22,15,Yes.,a,THE WITNESS,start_question
55,203,22,16,"Did you bring any documents with you today, sir?",q,MS. BALDWIN,start_answer
56,204,22,17,"I did not, no.  Oh, I'm sorry, I just brought the deposition notice.",a,THE WITNESS,start_answer
57,206,22,19,Fair enough.,a,THE WITNESS,start_question
58,207,22,20,"In your role as site operations manager, what are your job responsibilities?",q,MS. BALDWIN,start_answer
59,209,22,22,"So, G. Greene has two separate divisions or site and civil operations and a building component, and I run the site and civil operations.",a,THE WITNESS,start_question
60,213,23,1,"What does that mean, site and civil operations?",q,MS. BALDWIN,start_answer
61,214,23,2,"Civil construction site work, utility construction is what our main work is.",a,THE WITNESS,start_question
62,216,23,4,And you said there's another building component's department?,q,MS. BALDWIN,start_answer
63,218,23,6,Yes.  There's a separate -- there's a separate division that just does building work.,a,THE WITNESS,start_question
64,220,23,8,And that literally means the interior of the building?,q,MS. BALDWIN,start_answer
65,222,23,10,"Interiors of buildings, mm-hmm.",a,THE WITNESS,start_question
66,223,23,11,"And so, you oversee the site and civil division?",q,MS. BALDWIN,start_answer
67,224,23,12,Yes.,a,THE WITNESS,start_question
68,225,23,13,What are your responsibilities within that division?,q,MS. BALDWIN,start_answer
69,227,23,15,"So, basically, I run the operations, review estimates, delegate different projects for different project managers, and, you know, just set up crews and delegate the work.",a,THE WITNESS,start_question
70,231,23,19,"So, a job comes into the office, how does it -- how is it assigned?",q,MS. BALDWIN,start_chat
71,233,23,21,Objection.  You can answer.,side_chat,MS. BYRON,start_answer
72,234,23,22,"So, we would -- if it was a bid job, our Estimating Department would get it.  They would bid it.  If we were fortunate enough to get it, we would get a contract, and we just go do it.",a,THE WITNESS,start_question
73,239,24,2,Take me through what it means to go through it.,q,MS. BALDWIN,start_answer
74,240,24,3,Go through?,a,THE WITNESS,start_question
75,241,24,4,Go through with it.,q,MS. BALDWIN,start_answer
76,242,24,5,"We would buy materials and procure subs and then set up whatever crews are going to go do the work itself, set up a project manager who is going to run the job itself, and then we mobilize crews and equipment to go do the work.",a,THE WITNESS,start_question
