,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,190,6,14,- - - EXAMINATION,symbols,,symbols
2,192,6,16,- - -,symbols,,start_question
3,194,6,18,"Good morning, Rosemary.  My name is Joseph Blum, and I represent Mercedes-Benz in a series of claims that have been brought about the fire that occurred here in 2016. I'm just going to ask you a series of questions this morning. Any time you don't understand my question, please tell me immediately and I'll be happy to restate the question for you.  If you don't hear the question, please let me know and I'll be happy to restate it or read it back for you. I'm going to ask you to please try to keep all your responses verbal today, because the court reporter cannot take down nods of the head or shrugging of your shoulders.  Do you understand all that?",q,MR. BLUM,start_answer
4,212,7,11,"Yes, sir.",a,THE WITNESS,start_question
5,213,7,12,Is there anything that would prevent you from hearing my questions today and understanding them and answering accurately?,q,MR. BLUM,start_answer
6,216,7,15,No.,a,THE WITNESS,start_question
7,217,7,16,Are you employed by Clemens?,q,MR. BLUM,start_answer
8,218,7,17,Yes.,a,THE WITNESS,start_question
9,219,7,18,Tell us in what capacity you're employed?,q,MR. BLUM,start_answer
10,221,7,20,"You want the job title, job duties?",a,THE WITNESS,start_question
11,222,7,21,Why don't we start with the job title?,q,MR. BLUM,start_answer
12,224,7,23,I'd just say manager.,a,THE WITNESS,start_question
13,225,7,24,And how long have you been in that position?,q,MR. BLUM,start_answer
14,228,8,2,You would have to ask Randy.  I don't know.,a,THE WITNESS,start_question
15,230,8,4,Okay.  Let's go back even more basically then.  How long have you worked here at Clemens?,q,MR. BLUM,start_answer
16,233,8,7,I think I started part time like in 2006.,a,THE WITNESS,start_question
17,235,8,9,Okay.  And prior to 2006 were you employed in any way?,q,MR. BLUM,start_answer
18,237,8,11,Yes.,a,THE WITNESS,start_question
19,238,8,12,Where were you employed?,q,MR. BLUM,start_answer
20,239,8,13,I was selling real estate.,a,THE WITNESS,start_question
21,240,8,14,You're a licensed real estate agent?,q,MR. BLUM,start_answer
22,241,8,15,"Yes, sir, yeah.",a,THE WITNESS,start_question
23,242,8,16,And how long did you do that for?,q,MR. BLUM,start_answer
24,243,8,17,2004 till 2009.,a,THE WITNESS,start_question
25,244,8,18,"All right.  And before becoming a real estate agent, were you also employed?",q,MR. BLUM,start_answer
26,246,8,20,Yes.,a,THE WITNESS,start_question
27,247,8,21,And in what capacity?,q,MR. BLUM,start_answer
28,248,8,22,The last job before the Realtor job?,a,THE WITNESS,start_question
29,249,8,23,Sure.,q,MR. BLUM,start_answer
30,250,8,24,I don't recall.,a,THE WITNESS,start_question
31,252,9,1,Okay.  Tell us generally what your educational background is?,q,MR. BLUM,start_answer
32,254,9,3,Some college.,a,THE WITNESS,start_question
33,255,9,4,All right.  Where did you get that college at?,q,MR. BLUM,start_answer
34,257,9,6,Montgomery County.,a,THE WITNESS,start_question
35,258,9,7,"All right.  And when you were at Montgomery County, did you specialize in your studies --",q,MR. BLUM,start_answer
36,261,9,10,Business.,a,THE WITNESS,start_question
