,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," P R O C E E D I N G S David F. MacInnis, Sworn DIRECT EXAMINATION",,,start_question
1,181,5,5,"Mr. MacInnis, my name is Adam Benevides.  I represent Chappell Engineering in a matter called Dexter Avenue Realty Trust versus Chappell Engineering, et al. Have you ever had your deposition taken before?",q,MR. BENEVIDES,start_answer
2,187,5,11,I have not.,a,THE WITNESS,start_question
3,188,5,12,You have not.  So I'm going to go over a few ground rules to make things easier.,q,MR. BENEVIDES,start_answer
4,190,5,14,Sure.,a,THE WITNESS,start_question
5,191,5,15,"So this is essentially a question-and- answer-session.  We're going to talk about most of the documents that you reviewed in your subpoena and whatnot.  So to make things easier, when I ask questions and when you respond, we want to try to not talk over each other, let each other answer. It's also important that you give verbal responses rather than shaking your head or saying ""uh-huh,"" things of that nature. If at any time you don't understand my question or you need clarification, please ask me. If you answer a question, I'm going to assume that you understood it.  So if there's something that you need clarified, just make sure that you let us know. Okay?",q,MR. BENEVIDES,start_answer
6,207,6,6,Okay.,a,THE WITNESS,start_question
7,208,6,7,Are you represented here at all today?,q,MR. BENEVIDES,start_answer
8,209,6,8,I'm not.,a,THE WITNESS,start_question
9,210,6,9,"Okay.  If at any time you need a break or you just feel as though you need to use the bathroom, anything like that, just let me know and we'll pause the deposition.  Okay?",q,MR. BENEVIDES,start_answer
10,214,6,13,Okay.,a,THE WITNESS,start_chat
11,215,6,14,"Adam, since he's not represented, do you want to explain to him he has a right to review the transcript?",side_chat,MR. RAMSDELL,start_question
12,218,6,17,"So at the end of the deposition, the court reporter is going to produce a transcript.",q,MR. BENEVIDES,start_answer
13,220,6,19,Okay.,a,THE WITNESS,start_question
14,221,6,20,"And then you will have the opportunity to review that transcript and take a look at your testimony and ensure that it's accurately recorded, and if it's not, there's going to be a sheet where you can write down where there may be errors, and then we will have the transcript altered accordingly.",q,MR. BENEVIDES,start_answer
15,229,7,3,Okay.,a,THE WITNESS,start_chat
16,230,7,4,"On that note, 30 days for signing, we'll waive notary; does everybody agree with that?",side_chat,MR. BENEVIDES,is brackets
17,233,7,7,(All counsel agreed.),brackets,,start_chat
18,234,7,8,"And the usual stipulations?  Objections other than the form of the question will be reserved till trial, motions to strike as well.",side_chat,MR. BENEVIDES,is brackets
19,238,7,12,(All counsel agreed.),brackets,,start_question
20,240,7,14,"Mr. MacInnis, I understand that you are employed by Hennessey & MacInnis?",q,MR. BENEVIDES,start_answer
21,242,7,16,Correct.,a,THE WITNESS,start_question
22,243,7,17,"And that is a title examination firm, correct?",q,MR. BENEVIDES,start_answer
23,245,7,19,Yes.,a,THE WITNESS,start_question
24,246,7,20,And you performed a title examination on property on Dexter Avenue?,q,MR. BENEVIDES,start_answer
25,248,7,22,I did.,a,THE WITNESS,start_question
26,249,7,23,Okay.,q,MR. BENEVIDES,start_chat
27,250,7,24,"Can we mark this as the first exhibit, please.",side_chat,MR. BENEVIDES,is brackets
28,253,8,2,"(Marked, Exhibit 1, Subpoena issued to Hennessey & MacInnis and attached documents.)",brackets,,start_question
29,255,8,4,I've put in front of you what has been labeled Exhibit 1.  Do you recognize this as a subpoena that was served upon you?,q,MR. BENEVIDES,start_answer
30,258,8,7,(Witness reviews document.) Yes.,a,THE WITNESS,start_question
31,259,8,8,"Okay.  If we turn to the, I believe it's the fourth page of that document, you see there's a Schedule A, correct?",q,MR. BENEVIDES,start_answer
32,262,8,11,(Witness reviews document.) Yes.,a,THE WITNESS,start_question
33,263,8,12,And then there are documents requested of you?,q,MR. BENEVIDES,start_answer
34,265,8,14,Yeah.,a,THE WITNESS,start_question
35,266,8,15,"Could you quickly review, or actually, take however long it takes you to review the items in that document request and then let me know when you've finished.",q,MR. BENEVIDES,start_answer
36,270,8,19,"(Witness reviews document.) Okay, I've furnished.",a,THE WITNESS,start_question
37,272,8,21,Have you produced everything in your possession with respect to the documents requested in this subpoena?,q,MR. BENEVIDES,start_answer
38,275,8,24,"I have.  Let me amend that.  I think I have.  I did check through my records.  If -- you know, if Attorney Miller gave you some other stuff, then he may have, I don't know.  I think I did.  I gave you what I had in my computer as far as the search goes.  You know?  I don't want to, you know, say I gave you everything and I didn't.",a,THE WITNESS,start_chat
39,283,9,7,"So I'm going to mark this as Exhibit 2, please.",side_chat,MR. BENEVIDES,is brackets
40,285,9,9,"(Marked, Exhibit 2, Email exchange between Attorney Benevides and the witness with attached documents witness produced.)",brackets,,start_question
41,288,9,12,"So turning to Exhibit 2, this is an email between you and me, correct?",q,MR. BENEVIDES,start_answer
42,290,9,14,(Witness reviews document.) Yes.,a,THE WITNESS,start_question
43,291,9,15,"And attached to this email are the documents that you produced to me recently, correct?",q,MR. BENEVIDES,start_answer
44,293,9,17,Correct.,a,THE WITNESS,start_question
45,294,9,18,And these are all the documents that you had in your possession?,q,MR. BENEVIDES,start_answer
46,296,9,20,"Yes, my possession, yes, in my computer.",a,THE WITNESS,start_question
47,297,9,21,"Now, you just mentioned that you might have other documents that you received from Attorney Miller?",q,MR. BENEVIDES,start_answer
48,300,9,24,"I don't think so.  I may have done -- I don't know if I sent him some notes on some stuff when it kind of all blew up; he had me do some other stuff, but I didn't really send him anything.  I just told him that it was -- it got kind of confusing -- not confusing, but -- when it all kind of went down, he wanted me to do some more look -- kind of poke around see if I could find some other stuff, and I really didn't.  I just did some sketches on a piece of paper that I never sent to him.  I just said, ""I'm not coming up with anything, Bruce,"" you know, type thing.",a,THE WITNESS,start_question
49,313,10,12,"Did you produce those sketches, and did you look for those?",q,MR. BENEVIDES,start_answer
50,315,10,14,"Yeah, I did.  I didn't have them.  I checked my emails, things like that.  It wasn't -- he essentially wanted me to figure out --",a,THE WITNESS,start_question
51,318,10,17,Can I stop you there?  I'm sorry.,q,MR. BENEVIDES,start_answer
52,319,10,18,Am I talking too much?,a,THE WITNESS,start_question
53,320,10,19,"No, not at all.  I just wanted to clarify who Attorney Miller was?",q,MR. BENEVIDES,start_answer
54,322,10,21,"Okay.  Bruce Miller, Pierce Atwood.  He's the one that contacted me about the search.",a,THE WITNESS,start_question
55,324,10,23,Okay.  And who is he in relation to this matter?,q,MR. BENEVIDES,start_answer
56,327,11,1,"He is the real estate -- he represented I think Natale in the real estate -- I believe real estate transactions.  I believe he's a client of his, I would say.  I mean, I wouldn't -- actually, that's not really my end of it.  He just told me, you know.",a,THE WITNESS,start_question
57,333,11,7,Do you have a longstanding relationship with Mr. Miller?,q,MR. BENEVIDES,start_answer
58,335,11,9,I do.,a,THE WITNESS,start_question
59,336,11,10,Does he frequently refer you business?,q,MR. BENEVIDES,start_answer
60,337,11,11,"Oh, absolutely, yeah.",a,THE WITNESS,start_question
61,338,11,12,Okay.  And you were saying that Mr. Miller had asked you to do some additional research?,q,MR. BENEVIDES,start_answer
62,340,11,14,"Yes.  It ended up being like two properties involved, and he wanted to see where I think -- this is a few years ago -- where they actually built it on the wrong lot, from what I understand.  He wanted to see -- he wanted -- could I see who owned that and the title there. So I did some poking around.  It was virtually impossible to figure out.  It was like the land time forgot.  It was really different.  And they hired a bigger firm that does -- specializes in that, so...  I don't have anything.  I just told him -- I said, ""I looked around.  It was back in the 1700s.""  And it was just a big disaster, so I said, ""I can't do it, that's not really my specialty."" They hired a big firm that did it.  I know the people that did it, so...",a,THE WITNESS,start_question
63,357,12,6,Was this in relation to Dexter Avenue?,q,MR. BENEVIDES,start_answer
64,358,12,7,Yes.,a,THE WITNESS,start_question
65,359,12,8,Okay.  Did you have an understanding of the addresses of the properties that he was speaking of?,q,MR. BENEVIDES,start_answer
66,361,12,10,I did not.,a,THE WITNESS,start_question
67,362,12,11,"Just as a -- going back a little bit here, what is your method of keeping your records?",q,MR. BENEVIDES,start_answer
68,364,12,13,"We write a report, we email it to the attorney, and it's stored in there.  We've done that since 2008.  So when I went back to look -- we do it by town, city and address, so I would go to Woburn, Dexter, and that's what I had, that's what I sent to you.",a,THE WITNESS,start_question
69,370,12,19,And how do you keep these records?  Are they in a paper file or are they --,q,MR. BENEVIDES,start_answer
70,372,12,21,"No, they're on the computer.",a,THE WITNESS,start_question
71,373,12,22,And do you scan everything in?,q,MR. BENEVIDES,start_answer
72,374,12,23,Yeah.,a,THE WITNESS,start_question
73,375,12,24,Okay.  So all of your notes and --,q,MR. BENEVIDES,start_answer
74,377,13,1,No.,a,THE WITNESS,start_question
75,378,13,2,-- anything else would be scanned in?,q,MR. BENEVIDES,start_answer
76,379,13,3,"No, no.",a,THE WITNESS,start_question
77,380,13,4,No?,q,MR. BENEVIDES,start_answer
78,381,13,5,"No, I wouldn't bother, because I just told him -- I did it -- I told him verbally.",a,THE WITNESS,start_question
79,383,13,7,I'm speaking in general now.,q,MR. BENEVIDES,start_answer
80,384,13,8,"Oh, in general.",a,THE WITNESS,start_question
81,385,13,9,"Yes, in general.",q,MR. BENEVIDES,start_answer
82,386,13,10,"No, I would only scan in finished product that would be sent to an attorney.  I wouldn't scan notes.  There wouldn't be a reason for me to do that.",a,THE WITNESS,start_question
83,390,13,14,So what would you do with any notes or things of that nature?  Does it go in a paper file?,q,MR. BENEVIDES,start_answer
84,392,13,16,"No, it goes in the trash.",a,THE WITNESS,start_question
