,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," GREGORY GOTTWALD, having been first duly sworn, testified as follows: EXAMINATION",,,start_question
1,107,3,5,"My name's Eric Mayer, and we're here for a post-judgment deposition. Would you please state your name for the record.",q,MR. MAYER,start_answer
2,111,3,9,My name is Gregory Charles Gottwald.,a,THE WITNESS,start_question
3,112,3,10,"And what is your current address, Mr. Gottwald?",q,MR. MAYER,start_answer
4,113,3,11,16855 Gentle Stone Drive.,a,THE WITNESS,start_question
5,114,3,12,Okay.  Are you married?,q,MR. MAYER,start_answer
6,115,3,13,I am.,a,THE WITNESS,start_question
7,116,3,14,Okay.  What is your spouse's name?,q,MR. MAYER,start_answer
8,117,3,15,Misaabrana.  M-I-S-A-A-B-R-A-N-A.,a,THE WITNESS,start_question
9,118,3,16,And where does Misaabrana live?,q,MR. MAYER,start_answer
10,119,3,17,She lives at the same address.,a,THE WITNESS,start_question
11,120,3,18,Okay.  Do you have any children with Misaabrana?,q,MR. MAYER,start_answer
12,122,3,20,I do.,a,THE WITNESS,start_question
13,123,3,21,And who are those children?,q,MR. MAYER,start_answer
14,124,3,22,"Thomas Stone Gottwald.  And then I have two stepchildren that I've raised since they were five, that are hers, for a total of six children.",a,THE WITNESS,start_question
15,127,3,25,And who is the mother of the stepchildren?,q,MR. MAYER,start_answer
16,129,4,1,"Well, she is the mother of my stepchildren.",a,THE WITNESS,start_question
17,130,4,2,Who is that?,q,MR. MAYER,start_answer
18,131,4,3,Misaabrana.,a,THE WITNESS,start_question
19,132,4,4,Okay.  Do you have any other children by any other women?,q,MR. MAYER,start_answer
20,134,4,6,My first wife.,a,THE WITNESS,start_question
21,135,4,7,Okay.,q,MR. MAYER,start_answer
22,136,4,8,Yes.,a,THE WITNESS,start_question
23,137,4,9,What was your first wife's wife?,q,MR. MAYER,start_answer
24,138,4,10,Her name is Mona.,a,THE WITNESS,start_question
25,139,4,11,When were you divorced?,q,MR. MAYER,start_answer
26,140,4,12,"2003, I believe.  2003, 2004.",a,THE WITNESS,start_question
27,141,4,13,And when did you marry Misaabrana?,q,MR. MAYER,start_answer
28,142,4,14,"In 2006, I believe.",a,THE WITNESS,start_question
29,143,4,15,Do you have a separate property agreement with Misaabrana?,q,MR. MAYER,start_answer
30,145,4,17,No.,a,THE WITNESS,start_question
31,146,4,18,So community property is what you have?,q,MR. MAYER,start_answer
32,147,4,19,Correct.,a,THE WITNESS,start_question
33,148,4,20,"How about with your first wife, did you have any kind of separate property agreement with her?",q,MR. MAYER,start_answer
34,150,4,22,No.,a,THE WITNESS,start_question
35,151,4,23,So community property was --,q,MR. MAYER,start_answer
36,152,4,24,Correct.,a,THE WITNESS,start_question
37,153,4,25,What is your Social Security number?,q,MR. MAYER,start_answer
38,155,5,1,271-76-4529.,a,THE WITNESS,start_question
39,156,5,2,And Misaabrana's?,q,MR. MAYER,start_answer
40,157,5,3,I'm not sure what her Social Security number is.,a,THE WITNESS,start_question
41,159,5,5,Okay.  Does Misaabrana work?,q,MR. MAYER,start_answer
42,160,5,6,No.,a,THE WITNESS,start_question
43,161,5,7,Who is your employer?,q,MR. MAYER,start_answer
44,162,5,8,"Duratech Texas, LLC.",a,THE WITNESS,start_question
45,163,5,9,"I want to focus on where you receive income, from any source, so let's start with what moneys do you receive from Duratech Texas, LLC, your current employer?",q,MR. MAYER,start_answer
46,166,5,12,"I -- my payroll paycheck is 1,500 per month, and with an additional $2,500 used for paying house lease, electric, things of that nature.",a,THE WITNESS,start_question
47,169,5,15,"Let's talk about Duratech Texas, LLC.  Who are the officers of Duratech Texas, LLC?",q,MR. MAYER,start_answer
48,171,5,17,Myself and Wajid Lodhi.,a,THE WITNESS,start_question
49,172,5,18,What is Mr. Lodhi's relation to you?,q,MR. MAYER,start_answer
50,173,5,19,He's a partner.,a,THE WITNESS,start_question
51,174,5,20,Is he a partner with you in any other --,q,MR. MAYER,start_answer
52,175,5,21,No.,a,THE WITNESS,start_question
53,176,5,22,-- business venture?,q,MR. MAYER,start_answer
54,177,5,23,No.,a,THE WITNESS,start_question
55,178,5,24,"And when was Duratech Texas, LLC formed?",q,MR. MAYER,start_answer
56,179,5,25,I believe March of 2018.,a,THE WITNESS,start_question
57,181,6,1,Would the documents with the Texas Secretary of State be the best evidence of when it was --,q,MR. MAYER,start_answer
58,183,6,3,Yes.,a,THE WITNESS,start_question
59,184,6,4,-- formed?,q,MR. MAYER,start_answer
60,185,6,5,Yes.,a,THE WITNESS,start_question
61,186,6,6,"Did you contribute any money or assets to Duratech Texas, LLC, when it was formed?",q,MR. MAYER,start_answer
62,188,6,8,No.  No.,a,THE WITNESS,start_question
63,189,6,9,"Did Mr. Wajid contribute any money or assets to Texas Duratech, LLC?",q,MR. MAYER,start_answer
64,191,6,11,No.,a,THE WITNESS,start_question
65,192,6,12,"How was that organization capitalized, at its inception?",q,MR. MAYER,start_answer
66,194,6,14,"Well, we got a couple of loans.  Actually, not at that time.  It came probably about eight months or a year later, that we got a loan.",a,THE WITNESS,start_question
