,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," LAWRENCE MEEKS, having been first duly sworn, testified as follows: EXAMINATION",,,start_question
1,159,5,16,"Mr. Meeks, my name is Matt Todd, and I represent the Lombardi Foundation and the trademark opposition that has been filed by the Rotary Club of Houston against the Lombardi Foundation for its trademark, the Lombardi Award. I assume you have some degree of familiarity with the dispute?",q,MR. TODD,start_answer
2,166,5,23,"Uh-huh, I do.",a,THE WITNESS,start_question
3,167,5,24,Okay.  All right.  I'd like to hand you what we're going to mark as Deposition Exhibit No. 1 which is the notice of the deposition for the Rotary Club of Houston.,q,MR. TODD,is brackets
4,172,6,3,(Exhibit 1 marked.),brackets,,start_question
5,173,6,4,(BY MR. TODD)  Have you seen this notice before?,q,MR. TODD,start_chat
6,175,6,6,"You sent me this, right, Mike?",side_chat,THE WITNESS,start_chat
7,177,6,8,I do not -- I did not send you this one.,side_chat,MR. GARVIN,start_question
8,179,6,10,"(BY MR. TODD)  Okay.  Do you understand, Mr. Meeks, that you're here today as the representative of the Rotary Club of Houston?",q,MR. TODD,start_answer
9,182,6,13,Yes.,a,THE WITNESS,start_question
10,183,6,14,"Okay.  I would also like to hand you what we're going to mark as Deposition Exhibit No. 2, which is your -- the notice of your personal deposition.",q,MR. TODD,is brackets
11,187,6,18,(Exhibit 2 marked.),brackets,,start_question
12,188,6,19,(BY MR. TODD)  Have you seen that before today?,q,MR. TODD,start_answer
13,190,6,21,I don't think so.,a,THE WITNESS,start_chat
14,191,6,22,"I mean, I'll just say for the record I --",side_chat,MR. GARVIN,start_chat
15,193,6,24,Okay.  That's fine.,side_chat,MR. TODD,start_chat
16,194,6,25,This came out yesterday.,side_chat,MR. GARVIN,start_chat
17,196,7,1,It's fine.,side_chat,MR. TODD,start_question
18,197,7,2,"(BY MR. TODD)  So there are -- it's not uncommon for this -- for these sort of proceedings to be run together.  So my intention is to take your deposition as the corporate representative and also take your personal deposition at the same time so that we can save time for the parties. What I will do in order to accommodate that is if I am asking a question where I expect a response from the Rotary Club of Houston, I will indicate that I'm asking, ""What would Rotary's position be with regard to such and such?""  If I'm asking for your personal opinion or your personal testimony, I will say, ""Mr. Meeks, what is your personal opinion or your personal testimony?""",q,MR. TODD,start_answer
19,211,7,16,Okay.,a,THE WITNESS,start_question
20,212,7,17,Is that okay?,q,MR. TODD,start_answer
21,213,7,18,"That's fine, as long as you understand that I am the past president of the Rotary Club.  I'm not the current president of the Rotary Club.",a,THE WITNESS,start_question
22,216,7,21,Indeed I understand that.,q,MR. TODD,start_chat
23,217,7,22,Yeah.,side_chat,MR. GARVIN,start_answer
24,218,7,23,"So that -- and within Rotary that changes things in terms of, you know, what I say and whether it's binding on the Club, et cetera.",a,THE WITNESS,start_chat
25,222,8,1,"Yeah, I just want to interject, too.  Matt, you-all served a notice of a 30(b)(6) deposition, and we objected to several categories.  So Mr. Meeks is being produced to pursuant to certain specific topics in your prior notice as the corporate representative and -- and otherwise not.",side_chat,MR. GARVIN,start_chat
26,229,8,8,Understood.,side_chat,MR. TODD,start_chat
27,230,8,9,Yeah.,side_chat,MR. GARVIN,start_chat
28,231,8,10,"If we get into a category where Mr. Meeks is not the appropriate witness for the category, then we can take that up at that time.",side_chat,MR. TODD,start_chat
29,235,8,14,Fair enough.,side_chat,MR. GARVIN,start_chat
30,236,8,15,"And in those instances, I probably will be asking Mr. Meeks for his personal opinion even if he can't testify on behalf of the organization.",side_chat,MR. TODD,start_chat
31,240,8,19,Personal knowledge as opposed to personal opinion?,side_chat,MR. GARVIN,start_chat
32,242,8,21,Indeed.,side_chat,MR. TODD,start_chat
33,243,8,22,Fair enough.,side_chat,MR. GARVIN,start_chat
34,244,8,23,And it will be up to you guys to decide whether I'm the appropriate witness or not.  I wouldn't have any idea.,side_chat,THE WITNESS,start_chat
