,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," of questions, be reserved until the time of trial.)",,,symbols
1,132,5,14,- - - EXAMINATION,symbols,,symbols
2,134,5,16,- - -,symbols,,start_question
3,136,5,18,"So Mr. Cappello, is there any reason --",q,MR. FROEHLICH,start_answer
4,137,5,19,Cappello.,a,THE WITNESS,start_question
5,138,5,20,"Cappello, I apologize, Cappello. Mr. Cappello, is there any reason that you would have any problems listening to my questions and responding truthfully this morning?",q,MR. FROEHLICH,start_answer
6,142,5,24,"No, sir.",a,THE WITNESS,start_question
7,144,6,1,Got it. Have you ever been deposed before?,q,MR. FROEHLICH,start_answer
8,146,6,3,"No, sir.",a,THE WITNESS,start_question
9,147,6,4,"Okay. Since this is your first time I'll just give you a little bit of sort of the parameters although I'm sure your attorneys have mentioned this to you.  If you don't understand any question that I ask please tell me and I'll rephrase it or explain it.  If you don't hear me please tell me you can't hear me and I'll speak up at a little bit.  If you need to take a break at any time let us know that as well.  If you respond to a question I'll assume that you heard it and that you understand it and that you're responding truthfully, okay?",q,MR. FROEHLICH,start_answer
10,159,6,16,Okay.,a,THE WITNESS,start_question
11,160,6,17,"Now, your represented in this matter by the law firm of Liss and Katz; is that correct?",q,MR. FROEHLICH,start_answer
12,162,6,19,Correct.,a,THE WITNESS,start_question
13,163,6,20,Okay. Do they -- to your knowledge do they also represent the Philadelphia -- the Philly Cash Buyer Lands Trust as well?,q,MR. FROEHLICH,start_answer
14,167,6,24,Yes.,a,THE WITNESS,start_question
15,169,7,1,Okay. And do they also represent Timothy Stover in this case?,q,MR. FROEHLICH,start_answer
16,172,7,4,Yes.,a,THE WITNESS,start_question
17,173,7,5,All right. Do you have any other -- outside of the Liss and Katz law firm do you have any other lawyers that are representing you in this matter?,q,MR. FROEHLICH,start_answer
18,177,7,9,No.,a,THE WITNESS,start_question
19,178,7,10,How did you prepare for the deposition today?,q,MR. FROEHLICH,start_answer
20,179,7,11,I didn't.,a,THE WITNESS,start_question
21,180,7,12,Did you talk with anybody about it?,q,MR. FROEHLICH,start_chat
22,181,7,13,Outside of Counsel?,side_chat,MR. BARSKY,start_chat
23,182,7,14,"Briefly for 5 minutes before but there was no like going over anything really.  Just what you're doing, kind of how this is going to go.",side_chat,THE WITNESS,start_question
24,187,7,19,I should have also mentioned in the instructions before Michelle is taking down the transcript of the deposition so any response has to be oral instead of shaking your head.,q,MR. FROEHLICH,start_answer
25,191,7,23,"Got you, yeah.",a,THE WITNESS,start_question
26,192,7,24,Did you talk with Timothy Stover about today's deposition?,q,MR. FROEHLICH,start_answer
27,195,8,2,"Yes, briefly.",a,THE WITNESS,start_question
28,196,8,3,Okay. When did you talk with him?,q,MR. FROEHLICH,start_answer
29,198,8,5,Yesterday when he got out.,a,THE WITNESS,start_question
30,199,8,6,Okay. And what did he say about the deposition?,q,MR. FROEHLICH,start_answer
31,202,8,9,He said it was hilarious.,a,THE WITNESS,start_question
32,203,8,10,"Uh-huh, did he say anything else other than it was hilarious?",q,MR. FROEHLICH,start_answer
33,205,8,12,"No, just kind of like what happened, how long it took, you know.",a,THE WITNESS,start_question
34,207,8,14,Uh-huh.,q,MR. FROEHLICH,start_answer
35,208,8,15,That kind of stuff.,a,THE WITNESS,start_question
36,209,8,16,Did he tell you what type of questions that he was asked?,q,MR. FROEHLICH,start_answer
37,211,8,18,"Not really -- yeah, I mean, there was a couple but we didn't get into that too much.",a,THE WITNESS,start_question
38,213,8,20,Okay. Approximately how long was your conversation with Timothy Stover yesterday?,q,MR. FROEHLICH,start_answer
39,216,8,23,2 minutes over text message.,a,THE WITNESS,start_question
40,217,8,24,I see. And prior to that text message exchange had you spoken with Timothy Stover about this deposition?,q,MR. FROEHLICH,start_answer
41,222,9,4,"No, I didn't know I had a deposition until a couple days before today.",a,THE WITNESS,start_question
42,224,9,6,Okay.,q,MR. FROEHLICH,start_answer
43,225,9,7,"I mean, I knew it was something that was probably going to happen but we didn't really talk about anything about that.",a,THE WITNESS,start_question
44,228,9,10,Okay. Did you talk with George Beatty about today's deposition?,q,MR. FROEHLICH,start_answer
45,231,9,13,No.,a,THE WITNESS,start_question
46,232,9,14,Did you talk to anybody else at Problem Property Pals about today's deposition?,q,MR. FROEHLICH,start_answer
47,234,9,16,Nope.,a,THE WITNESS,start_question
48,235,9,17,Did you review any documents in preparation for today's deposition?,q,MR. FROEHLICH,start_answer
49,237,9,19,No.,a,THE WITNESS,start_question
50,238,9,20,Did you review the Complaint that was filed against Mr. Weary?,q,MR. FROEHLICH,start_answer
51,240,9,22,Nope.,a,THE WITNESS,start_question
52,241,9,23,Did you review Mr. Weary's PODIO record?,q,MR. FROEHLICH,start_answer
53,242,9,24,"Of course, I was part of it.",a,THE WITNESS,start_question
54,244,10,1,Okay. So when I said did you review any documents --,q,MR. FROEHLICH,start_answer
55,247,10,4,"Yeah, but I didn't review -- you're asking before I came here so no, but when this all took place, yes.",a,THE WITNESS,start_question
56,250,10,7,I see. When was the last time that you reviewed Mr. Weary's PODIO record?,q,MR. FROEHLICH,start_answer
57,253,10,10,"When this happened probably in -- I don't know when it was November, December, whenever this took place.",a,THE WITNESS,start_question
