,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," having been duly sworn by the Certified Shorthand Reporter, through the interpreter, testified as follows:",,,symbols
1,169,6,16,- - -,symbols,,start_question
2,171,6,18,Good morning.  Can you please state your full name for the record?,q,MR. SAAD,start_answer
3,173,6,20,"First name Yuan, last name Mao.",a,THE WITNESS,start_question
4,174,6,21,Do you understand that you are testifying under oath with the same effect as if you were testifying in court?,q,MR. SAAD,start_answer
5,177,6,24,Yes.,a,THE WITNESS,start_question
6,178,6,25,Have you been deposed before?,q,MR. SAAD,start_answer
7,180,7,1,No.,a,THE WITNESS,start_question
8,181,7,2,"Okay.  I'm going to be asking you some questions today.  If you don't understand a question as I have asked it, please let me know and I will do my best to clarify it. Do you agree with that?",q,MR. SAAD,start_answer
9,186,7,7,I agree.,a,THE WITNESS,start_question
10,187,7,8,And if you answer my question it is assumed that you understood the question. Do you understand that?,q,MR. SAAD,start_answer
11,190,7,11,I understand.,a,THE WITNESS,start_question
12,191,7,12,If you need a break at any point please let me know and I'd just ask that if there is a question pending at the time that you provide a response to the question and then we can take a break.,q,MR. SAAD,start_answer
13,195,7,16,Okay.,a,THE WITNESS,start_question
14,196,7,17,I'd remind you that our conversation today is being recorded by a court reporter here.  And so that she can provide an accurate transcription of our conversation I will remind you to please provide verbal responses to all my questions and try to avoid shaking your head or nodding your head as a response.,q,MR. SAAD,start_answer
15,203,7,24,Okay.,a,THE WITNESS,start_question
16,204,7,25,Is there any reason that you cannot testify truthfully and accurately today?,q,MR. SAAD,start_answer
17,207,8,2,No.,a,THE WITNESS,start_chat
18,208,8,3,Can I get the witness to put her microphone higher? Yes.  Thank you.,side_chat,THE VIDEOGRAPHER,start_question
19,212,8,7,Are you on any drugs or medication that may affect your testimony today?,q,MR. SAAD,start_answer
20,214,8,9,No.,a,THE WITNESS,start_question
21,215,8,10,Who is your employer?,q,MR. SAAD,start_answer
22,216,8,11,AU Vista.,a,THE WITNESS,start_question
23,217,8,12,How long have you worked for AU Vista?,q,MR. SAAD,start_answer
24,218,8,13,I joined AU Vista in 2015.,a,THE WITNESS,start_question
25,219,8,14,And who did you work for prior to AU Vista?,q,MR. SAAD,start_answer
26,220,8,15,AU America. ***ASK ANNE.,a,THE WITNESS,start_question
27,221,8,16,And how long did you work for AUO America?,q,MR. SAAD,start_answer
28,222,8,17,I joined AUO America in 2015 until -- excuse me.  2012 until 2015.,a,THE WITNESS,start_question
29,224,8,19,Do you also work for AU Optronics Corporation?,q,MR. SAAD,start_answer
30,226,8,21,I don't quite understand this question.,a,THE WITNESS,start_question
31,227,8,22,What is it about the question that you don't understand?,q,MR. SAAD,start_answer
32,229,8,24,Because my employer is AU Vista.,a,THE WITNESS,start_question
33,230,8,25,So is it correct that you do not work for AUO Corporation?,q,MR. SAAD,start_answer
34,233,9,2,Correct.,a,THE WITNESS,start_question
35,234,9,3,Have you ever worked for AUO Corporation?,q,MR. SAAD,start_answer
36,235,9,4,No.,a,THE WITNESS,start_question
37,236,9,5,Who did you work for prior to working for AUO America?,q,MR. SAAD,start_answer
38,238,9,7,China Mobile.,a,THE WITNESS,start_question
39,239,9,8,And how long did you work for China Mobile?,q,MR. SAAD,start_answer
40,240,9,9,Around one-and-a-half year.,a,THE WITNESS,start_question
41,241,9,10,Do you consider AUO America to be a separate company from AUO Corporation?,q,MR. SAAD,start_answer
42,243,9,12,I do not know about that.,a,THE WITNESS,start_question
43,244,9,13,Why don't you know?,q,MR. SAAD,start_answer
44,245,9,14,I am only an engineer.,a,THE WITNESS,start_question
45,246,9,15,I'm just under -- I'm just asking for your understanding of the corporate relationship between those two companies.,q,MR. SAAD,start_answer
46,249,9,18,I do not know about that because I am only an engineer.,a,THE WITNESS,start_question
47,251,9,20,What does AU Vista do?,q,MR. SAAD,start_answer
48,252,9,21,My work is mainly related to R & D testing.,a,THE WITNESS,start_chat
49,253,9,22,"Interpreter would like to clarify that rendition.  ""My work is mainly related to R & D research.""",side_chat,CHECK INTERPRETER,start_chat
50,256,9,25,Can the interpreter check with the witness? Correction,side_chat,THE INTERPRETER,start_question
51,261,10,4,Does AU Vista perform any other function other than R & D research?,q,MR. SAAD,start_answer
52,263,10,6,I do not know.,a,THE WITNESS,start_question
53,264,10,7,Does AU Vista do any manufacturing?,q,MR. SAAD,start_answer
54,265,10,8,I don't know because my work is only for R & D research.,a,THE WITNESS,start_question
55,267,10,10,How many employees does AU Vista have?,q,MR. SAAD,start_answer
56,268,10,11,I know that within my team there are three.,a,THE WITNESS,start_question
57,269,10,12,Outside of your team do you know how many employees AU Vista has?,q,MR. SAAD,start_answer
58,271,10,14,I am not too sure because all the people that I have contacts with are my team members.,a,THE WITNESS,start_question
59,273,10,16,Can you give me an approximate answer?,q,MR. SAAD,start_answer
