,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," CHRISTOPHER McGRATH, having been first duly sworn to testify to the truth, was examined and testified as follows: EXAMINATION",,,start_question
1,141,4,8,"Good morning, Mr. McGrath.",q,MS. BACON,start_answer
2,142,4,9,Good morning.,a,THE WITNESS,start_question
3,143,4,10,Thank you for being with us again today. Do you recall the ground rules for the deposition that we went over last time?,q,MS. BACON,start_answer
4,146,4,13,"No, ma'am.",a,THE WITNESS,start_question
5,147,4,14,"Okay.  We will go over them quickly. So before I began asking you questions, you took an oath with the court reporter to tell the truth here today, and with that oath, it holds the same force and effect as if you were testifying in a court of law and the penalty of perjury attaches. Do you understand that?",q,MS. BACON,start_answer
6,154,4,21,"Yes, ma'am.",a,THE WITNESS,start_question
7,155,4,22,"And remember always to give audible responses, so no shaking of your head or ""uh-huh"" or ""huh-uh,"" things like that, to make sure it's clear for the record.  Okay?",q,MS. BACON,start_answer
8,160,5,1,"Yes, ma'am.",a,THE WITNESS,start_question
9,161,5,2,"Thank you. If for some reason you don't understand a question that I have asked you, please ask me to repeat it or rephrase it so we can make sure we get a clean record.  Okay?",q,MS. BACON,start_answer
10,166,5,7,"Yes, ma'am.",a,THE WITNESS,start_question
11,167,5,8,"Thank you. And this is not an endurance test, so if at any time you need to take break to get some water --",q,MS. BACON,start_answer
12,170,5,11,Break?,a,THE WITNESS,start_question
13,171,5,12,-- or go to --,q,MS. BACON,start_answer
14,172,5,13,No.,a,THE WITNESS,start_question
15,173,5,14,"-- the restroom, please let me know.  Okay?",q,MS. BACON,start_answer
16,174,5,15,"Yes, ma'am.",a,THE WITNESS,start_question
17,175,5,16,"I would just ask that there be no simultaneous speaking, so please make sure that you let me finish my question before you provide your answer.  Okay?",q,MS. BACON,start_answer
18,179,5,20,"Yes, ma'am.",a,THE WITNESS,start_question
19,180,5,21,Thank you. Is there any reason can you not provide me with your most accurate and truthful testimony today?,q,MS. BACON,start_answer
20,184,5,25,"No, ma'am.",a,THE WITNESS,start_question
21,186,6,1,Have you taken any drugs or alcohol in the last 24 to 48 hours that might impair your ability to give me your best testimony?,q,MS. BACON,start_answer
22,189,6,4,"No, ma'am.",a,THE WITNESS,start_question
23,190,6,5,And obviously we are talking about the building at 1605 and 1605 1/2 Ocean Front Walk in Santa Monica here today. Do you remember that?,q,MS. BACON,start_answer
24,194,6,9,"Yes, ma'am.",a,THE WITNESS,start_question
25,195,6,10,"Whenever I say ""buildings,"" that's what I will be referring to.  Okay?",q,MS. BACON,start_answer
26,197,6,12,"Yes, ma'am.",a,THE WITNESS,start_question
27,198,6,13,"All right.  And whenever I say ""city,"" I'm obviously referring to the City of Santa Monica. Okay?",q,MS. BACON,start_answer
28,201,6,16,"Yes, ma'am.",a,THE WITNESS,start_question
29,202,6,17,Thank you. All right.  I will go ahead and mark as Exhibit 240 Defendants' Second Amended Notice of Continued Deposition of Plaintiff Christopher McGrath and Request for Production.,q,MS. BACON,is brackets
30,207,6,22,(Exhibit 240 marked.),brackets,,start_question
31,209,6,24,"Now, Mr. McGrath, you have seen a document similar to this before that we went over during the first volume of your deposition.  And last we spoke, you referenced that you might have additional records that are responsive to the requests that are provided in this deposition notice. Did you search for any documents further, after your first deposition, that might be responsive to the requests that are in this notice of deposition?",q,MS. BACON,start_answer
32,220,7,9,I'm not sure what I was looking for.,a,THE WITNESS,start_question
33,221,7,10,Did you search for any photographs of your unit or of the building?,q,MS. BACON,start_answer
34,223,7,12,"Oh, yeah, yeah.",a,THE WITNESS,start_question
35,224,7,13,Did you find any photographs?,q,MS. BACON,start_answer
36,225,7,14,"No.  I didn't have any.  But our friend Louis did, who was in the case.  He had some pictures.  He has pictures, but he passed away.",a,THE WITNESS,start_question
37,228,7,17,"When you say ""Lou,"" do you mean Louis Mifsud?",q,MS. BACON,start_answer
38,230,7,19,"Yeah.  Yes, ma'am.",a,THE WITNESS,start_question
39,231,7,20,So you don't have any photographs in your possession of the building or of your unit?,q,MS. BACON,start_answer
40,233,7,22,"I remember looking, but I didn't find any.",a,THE WITNESS,start_question
41,234,7,23,"So as far as you are aware, you have produced all of the documents that are responsive to the requests that in this notice of deposition, correct?",q,MS. BACON,start_answer
42,239,8,2,"Yes, ma'am.",a,THE WITNESS,start_question
