,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, testified as follows:,,,symbols
1,153,5,11,- - - EXAMINATION,symbols,,symbols
2,155,5,13,- - -,symbols,,start_question
3,157,5,15,"Good morning, Mr. Smith.",q,MR. BLUM,start_answer
4,158,5,16,Good morning.,a,THE WITNESS,start_question
5,159,5,17,"My name is Joseph Blum and I represent Mercedes-Benz in a case which has been brought by Capitol Indemnity Insurance. I'm going to ask you some questions today.  Any time you don't understand my question, please let me know, I'll be happy to restate it for you.  It's my responsibility to ask you a question you understand.",q,MR. BLUM,start_answer
6,168,6,1,"Okay, sure.",a,THE WITNESS,start_question
7,169,6,2,"We ask that you keep all your responses verbal, because the court reporter cannot take down nods of our head, shrugs of our shoulders and such.  So just please keep all of your responses verbal. The other thing I would ask you to do is to try and let me finish my question before you start to speak.  In normal conversation we kind of try to anticipate where everything is going, but it is hard for the court reporter to take down more than one of us at a time.  Do you understand that?",q,MR. BLUM,start_answer
8,181,6,14,Sure.,a,THE WITNESS,start_question
9,182,6,15,And is there anything which would prevent you from testifying accurately here this morning?,q,MR. BLUM,start_answer
10,185,6,18,No.,a,THE WITNESS,start_question
11,186,6,19,"Okay.  Can you tell us, sir --",q,MR. BLUM,start_chat
12,187,6,20,"Joe, just before you start, one instruction I'm going to tell you, at some point I may object. Unless I say I'm objecting and I'm instructing you not to answer the question, you can ignore me objecting and you can answer the question.",side_chat,MR. GOGINENI,start_chat
13,195,7,3,Okay.,side_chat,THE WITNESS,start_chat
14,196,7,4,We'll work that out as we go.  Hopefully there won't be any problems.,side_chat,MR. BLUM,start_chat
15,199,7,7,We always get into those awkward pauses that I like to avoid.,side_chat,MR. GOGINENI,start_chat
16,202,7,10,Not a problem.,side_chat,MR. BLUM,start_question
17,204,7,12,"Mr. Smith, can you tell us your educational background, please?",q,MR. BLUM,start_answer
18,206,7,14,I have a Ph.D. in material science from Drexel.,a,THE WITNESS,start_question
19,208,7,16,And before that?,q,MR. BLUM,start_answer
20,209,7,17,Master's degree in mechanical engineering from Northeastern.,a,THE WITNESS,start_question
21,211,7,19,All right.  And your Bachelor degree?,q,MR. BLUM,start_answer
22,213,7,21,From Northeastern as well.,a,THE WITNESS,start_question
23,214,7,22,Mechanical engineering?,q,MR. BLUM,start_answer
24,215,7,23,Yes.,a,THE WITNESS,start_question
25,216,7,24,Okay.  And when did you receive your Ph.D.?,q,MR. BLUM,start_answer
26,219,8,2,1985.,a,THE WITNESS,start_question
27,220,8,3,And are you the owner and/or operator of a company S-Bond Technologies?,q,MR. BLUM,start_answer
28,222,8,5,Yes.,a,THE WITNESS,start_question
29,223,8,6,Okay.  Can you tell us like when you formed that company?,q,MR. BLUM,start_answer
30,225,8,8,2000.,a,THE WITNESS,start_question
31,226,8,9,"So between the time when you got out of school and 2000, could you tell us just very briefly what your work history was?",q,MR. BLUM,start_answer
32,229,8,12,Sure.  I was an engineer at GE for ten years and then I was a Drexel faculty for ten years.,a,THE WITNESS,start_question
33,232,8,15,Okay.,q,MR. BLUM,start_answer
34,233,8,16,And then started my own company.,a,THE WITNESS,start_question
35,234,8,17,"All right.  And when you were an engineer at GE, what kind of things did you work on?",q,MR. BLUM,start_answer
36,237,8,20,"Gas turbines, jet engines, materials.",a,THE WITNESS,start_question
37,239,8,22,"And when you taught at Drexel, in general, that were the things you taught?",q,MR. BLUM,start_answer
38,241,8,24,"Material science, engineering.",a,THE WITNESS,start_question
39,243,9,1,"Okay.  And when you formed S-Bond in 2000, was that the original name or did it operate under another name?",q,MR. BLUM,start_answer
40,246,9,4,"We had two companies at the same time, Material Resources International and then S-Bond Technologies formed kind of out of that, and then eventually we closed Material Resources International.",a,THE WITNESS,start_question
41,251,9,9,Approximately when did Material Resources close?,q,MR. BLUM,start_answer
