,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," Otherwise, she's not going to obviously provide --                    ",,,start_chat
1,195,159,18,Sure.                                     ,side_chat,MR. SIMONS,start_chat
2,196,159,19,-- any attorney-client                      privileged information.                                               ,side_chat,MR. SAMMI,start_chat
3,198,159,21,Not a problem.                            ,side_chat,MR. SIMONS,start_question
4,199,159,22,"(BY MR. SIMONS)  I think if you go back to                   Exhibit 220.  And the next item that we were going to                  look at was item 158, I believe, which was on page 25, I               believe.                                                              ",q,MR. SIMONS,start_answer
5,204,160,1,The first 25?                                               ,a,THE WITNESS,start_question
6,205,160,2,"The first 25, 25A.                                           And the question is simply do you know                  which contract this refers to?                                        ",q,MR. SIMONS,start_answer
7,208,160,5,"That would have been -- actually, I'm not                    sure.                                                                 ",a,THE WITNESS,start_question
8,210,160,7,"Okay.  What about number 209?  This is on page               33, February 9th, 2018.                                               ",q,MR. SIMONS,start_answer
9,212,160,9,That would have been the SOW --                             ,a,THE WITNESS,start_question
10,213,160,10,Okay.                                                       ,q,MR. SIMONS,start_answer
11,214,160,11,-- with Zest.                                               ,a,THE WITNESS,start_question
12,215,160,12,All right.                                                  ,q,MR. SIMONS,start_chat
13,216,160,13,2018?                                      ,side_chat,MR. SAMMI,start_chat
14,217,160,14,2018.                                    ,side_chat,THE WITNESS,start_chat
15,218,160,15,Okay.                                      ,side_chat,MR. SAMMI,start_question
16,219,160,16,"(BY MR. SIMONS)  So if we go forward to number               297.  297 is on the 13th page, the second 13.  It looks                like 297 is -- actually, I --                                         ",q,MR. SIMONS,start_chat
17,222,160,19,Yeah.                                      ,side_chat,MR. SAMMI,start_question
18,223,160,20,(BY MR. SIMONS)  298 through 301.                           ,q,MR. SIMONS,start_chat
19,224,160,21,I --                                       ,side_chat,MR. SAMMI,start_question
20,225,160,22,(BY MR. SIMONS)  297 is Mr. Bohling.                        ,q,MR. SIMONS,start_chat
21,226,160,23,"Yeah.  Michael, I understood                you to mean 298 through 301.                                          ",side_chat,MR. SAMMI,start_chat
22,228,160,25,Yeah.  That is correct.                   ,side_chat,MR. SIMONS,start_question
23,230,161,1,"(BY MR. SIMONS)  So these refer to a Deloitte                contract.  Do you know which Deloitte this was?  Was it                waste, speed?                                                         ",q,MR. SIMONS,start_answer
24,233,161,4,Speed.                                                      ,a,THE WITNESS,start_question
25,234,161,5,"Speed.  Okay.                                                All right.  And then going forward to                   326, page 17.  This is the one, I think, that we had                   spoken briefly about before.  I think, you said you have               not -- you haven't sought to obtain a patent or file a                 patent application that you can recall?                               ",q,MR. SIMONS,start_answer
26,240,161,11,"I can't recall that, no.                                    ",a,THE WITNESS,start_question
27,241,161,12,"Did this have to do with somebody else's                     patent, not your own?                                                 ",q,MR. SIMONS,start_answer
28,243,161,14,I don't remember.                                           ,a,THE WITNESS,start_question
29,244,161,15,"Okay.  What about No. 327 through 31, next                   page, page 18?  These all just say regarding                           intellectual property.  Do you have anymore detail on                  what this relates to?                                                 ",q,MR. SIMONS,start_answer
30,248,161,19,No.  I don't remember.                                      ,a,THE WITNESS,start_question
31,249,161,20,"Okay.  What about 358 and 59?  It's on page                  23.  Business ventures, 1/18/2018.  Do you know what                   that refers to?                                                       ",q,MR. SIMONS,start_answer
32,252,161,23,That would have been the SOW.                               ,a,THE WITNESS,start_question
33,253,161,24,Okay.  All right.                                           ,q,MR. SIMONS,start_answer
34,254,161,25,Okay.  Go.                                                  ,a,THE WITNESS,start_question
35,256,162,1,"Yeah.  We'll get to it in a little bit, 221.                 (Exhibit 221 was marked)                              ",q,MR. SIMONS,start_chat
36,258,162,3,"Michael, this deposition is                 still under individual capacity?                                      ",side_chat,MR. SAMMI,start_chat
37,260,162,5,Yes.                                      ,side_chat,MR. SIMONS,start_chat
38,261,162,6,Okay.                                      ,side_chat,MR. SAMMI,start_question
39,262,162,7,"(BY MR. SIMONS)  Besides the exhibit, did you                talk to Zest about the work that ATK was doing with you?              ",q,MR. SIMONS,start_answer
40,264,162,9,I do not remember specific conversations.                   ,a,THE WITNESS,start_question
41,265,162,10,Okay.  So you don't recall telling them about                the ATK work?                                                         ,q,MR. SIMONS,start_answer
42,267,162,12,Not right now.                                              ,a,THE WITNESS,start_question
43,268,162,13,"Okay.  Looking at 221, this is a series of                   emails about an ATK proposal.  Your email is at the very               top there, 12/2/2016, correct?                                        ",q,MR. SIMONS,start_answer
44,271,162,16,Yes.                                                        ,a,THE WITNESS,start_question
45,272,162,17,And it looks like ATK sent a proposal back in                2015.  If you look at the --                                          ,q,MR. SIMONS,start_answer
46,274,162,19,Yep.                                                        ,a,THE WITNESS,start_question
47,275,162,20,"-- first couple of emails.  And then that was                -- I guess, they did not do the work in 2015, correct?                ",q,MR. SIMONS,start_answer
48,277,162,22,I would -- was not employed.  I don't know                   what they did.                                                        ,a,THE WITNESS,start_question
49,279,162,24,"Okay.  Well, at the top, you say, This was the               ATK deck I referenced.  This is a proposal to do the                   work that we are looking to do.  Not the actual work.                  Just a proposal to do the work and the scope.  Correct?               ",q,MR. SIMONS,start_answer
50,284,163,3,That's correct.                                             ,a,THE WITNESS,start_question
51,285,163,4,"Okay.  So you're not aware of them having done               the work in 2015, correct?                                            ",q,MR. SIMONS,start_answer
52,287,163,6,I'm not aware of what they did in 2015.                     ,a,THE WITNESS,start_question
53,288,163,7,Okay.  And it looks like you were sending the                proposal around again in 2016.  Did you send it around                 because you were planning to have them do some work in                 2016?                                                                 ,q,MR. SIMONS,start_answer
54,292,163,11,This -- no.                                                 ,a,THE WITNESS,start_question
55,293,163,12,Why did you send it around?                                 ,q,MR. SIMONS,start_answer
56,294,163,13,It just says it's a proposal of the work we're               looking to do.  It does not specifically say work that                 I'm looking ATK to do.                                                ,a,THE WITNESS,start_question
57,297,163,16,Got it.  Did you eventually ask ATK to do work               that was similar to the proposal that you circulated?                 ,q,MR. SIMONS,start_answer
58,299,163,18,Massively different scope and not necessarily                even remotely related.                                                ,a,THE WITNESS,start_question
59,301,163,20,"Okay.  So the only connection, I guess, is it                was ATK?                                                              ",q,MR. SIMONS,start_answer
60,303,163,22,Correct.                                                     (Exhibit 222 was marked)                              ,a,THE WITNESS,start_question
61,305,163,24,(BY MR. SIMONS)  So I'm showing you what's                   been marked as Exhibit 222.                                           ,q,MR. SIMONS,start_answer
62,308,164,1,Yes.                                                        ,a,THE WITNESS,start_question
63,309,164,2,"This is an email from you to Mr. Cherian in                  April of 2017 with an attachment called, Architectural                 Design Considerations Overview.                                       ",q,MR. SIMONS,start_answer
64,312,164,5,Correct.                                                    ,a,THE WITNESS,start_question
65,313,164,6,Is this something that ATK helped you prepare                or produce?                                                           ,q,MR. SIMONS,start_answer
66,315,164,8,This entire document?                                       ,a,THE WITNESS,start_question
67,316,164,9,"Yes.  Did they help you prepare the entire                   document?  And if not, did they help you prepare a                     portion of it?                                                        ",q,MR. SIMONS,start_answer
68,319,164,12,"So this is not my document, as I recall.                    ",a,THE WITNESS,start_question
69,320,164,13,So whose is it?                                             ,q,MR. SIMONS,start_answer
70,321,164,14,I'm not sure where it would have originated.                ,a,THE WITNESS,start_question
71,322,164,15,So if you look at the email just before your                 email on the first page.                                              ,q,MR. SIMONS,start_answer
72,324,164,17,Uh-huh.                                                     ,a,THE WITNESS,start_question
73,325,164,18,It's from Lewis -- Justin Lewis at ATK.                     ,q,MR. SIMONS,start_answer
74,326,164,19,Yes.                                                        ,a,THE WITNESS,start_question
75,327,164,20,"It looks like he sent it to you, and then you                sent it to Mr. Cherian.                                               ",q,MR. SIMONS,start_answer
76,329,164,22,He sent it to a large group of people.                      ,a,THE WITNESS,start_question
77,330,164,23,"Right.  You plus a number of people, correct?               ",q,MR. SIMONS,start_answer
78,331,164,24,Yes.                                                        ,a,THE WITNESS,start_question
79,332,164,25,And then you forwarded it on to Mr. Cherian.                 Why did you sent it to Mr. Cherian?                                   ,q,MR. SIMONS,start_answer
80,335,165,2,I'm sure as an FYI.                                         ,a,THE WITNESS,start_question
81,336,165,3,So does that refresh your recollection at all                as to whether ATK was involved in helping prepare this                 material?                                                             ,q,MR. SIMONS,start_answer
82,339,165,6,"At least what I see here, they prepared this                 material.                                                             ",a,THE WITNESS,start_question
83,341,165,8,Okay.  And did they prepare it at your request               or at someone else's request?                                         ,q,MR. SIMONS,start_answer
84,343,165,10,This is when ATK was working and being paid                  for by someone other than me.                                         ,a,THE WITNESS,start_question
85,345,165,12,Okay.  Do you know who it was that was --                   ,q,MR. SIMONS,start_answer
86,346,165,13,Rob Fasillo.                                                ,a,THE WITNESS,start_question
87,347,165,14,Rob Fasillo.  And who is he?                                ,q,MR. SIMONS,start_answer
88,348,165,15,He's the second person on the email list.                   ,a,THE WITNESS,start_question
89,349,165,16,Right.  And what is his role at Walmart?                    ,q,MR. SIMONS,start_answer
90,350,165,17,"He's a VP in technology.  His role at this                   particular time, I'm not sure.                                        ",a,THE WITNESS,start_question
91,352,165,19,Okay.  And did you work with Rob Fasillo after               this material was prepared?                                           ,q,MR. SIMONS,start_answer
92,354,165,21,During.  Current -- yeah.                                   ,a,THE WITNESS,start_question
93,355,165,22,Okay.                                                       ,q,MR. SIMONS,start_answer
94,356,165,23,"Yeah, yeah, yeah.                                           ",a,THE WITNESS,start_question
95,357,165,24,What role did you have in working with Rob                   with regard to the exhibit in Exhibit 222?                            ,q,MR. SIMONS,start_answer
96,360,166,1,I was the business partner.                                 ,a,THE WITNESS,start_question
97,361,166,2,"Okay.  And in connection with that, did ATK                  provide any other reports or deliverables associated                   with this project?                                                    ",q,MR. SIMONS,start_answer
98,364,166,5,Yes.                                                        ,a,THE WITNESS,start_question
99,365,166,6,What were the other deliverables that they                   provided?                                                             ,q,MR. SIMONS,start_answer
100,367,166,8,"There was the -- at the end of their contract                or time, there was another larger deck.                               ",a,THE WITNESS,start_question
101,369,166,10,"Okay.  And what was the -- was that an                       expansion on this, the deck that's attached here or                    something entirely different?                                         ",q,MR. SIMONS,start_answer
102,372,166,13,I would say this was a subset.                              ,a,THE WITNESS,start_question
103,373,166,14,"Okay.  So it's just a bigger, more complete                  set.                                                                  ",q,MR. SIMONS,start_answer
104,375,166,16,(Witness nods head.)                                        ,a,THE WITNESS,start_question
105,376,166,17,And what was your understanding of what the                  objective of this ATK work was?                                       ,q,MR. SIMONS,start_answer
106,378,166,19,"As I mentioned earlier, evaluating the systems               that move our product.  They were inadequate.  And so we               did a full systems analysis of all the different domains               to see what was needed to have the correct digital                     connection of moving product.                                         ",a,THE WITNESS,start_question
107,383,166,24,"And when you say product, is that -- you're                  talking about fresh product because that's --                         ",q,MR. SIMONS,start_answer
108,386,167,1,"Any -- any kind of product because -- in this                world, it was fresh, but it sometimes is -- you know, it               can be a can of something too.                                        ",a,THE WITNESS,start_question
109,389,167,4,But in this particular instance --                          ,q,MR. SIMONS,start_answer
110,390,167,5,It was fresh.                                               ,a,THE WITNESS,start_question
